Gridworld, Mode, Alpha, Gamma, Epsilon, Avg.Score
Normal, Static, 0.1, 0.9, 0.1, 38.16
Coloured, Static, 0.1, 0.9, 0.1, -260.16
Normal, Player-Dynamic, 0.1, 0.9, 0.1, 41.17
Coloured, Player-Dynamic, 0.1, 0.9, 0.1, 51.01
Normal, Dynamic, 0.1, 0.9, 0.1, -519.75
Coloured, Dynamic, 0.1, 0.9, 0.1, -388.34
Normal, Static, 0.25, 0.9, 0.1, 26.2
Coloured, Static, 0.25, 0.9, 0.1, -30.19
Normal, Player-Dynamic, 0.25, 0.9, 0.1, 40.19
Coloured, Player-Dynamic, 0.25, 0.9, 0.1, -312.68
Normal, Dynamic, 0.25, 0.9, 0.1, -341.04
Coloured, Dynamic, 0.25, 0.9, 0.1, -533.52
Normal, Static, 0.5, 0.9, 0.1, -52.06
Coloured, Static, 0.5, 0.9, 0.1, -224.49
Normal, Player-Dynamic, 0.5, 0.9, 0.1, 19.58
Coloured, Player-Dynamic, 0.5, 0.9, 0.1, -228.76
Normal, Dynamic, 0.5, 0.9, 0.1, -406.14
Coloured, Dynamic, 0.5, 0.9, 0.1, -411.6
Normal, Static, 0.1, 0.9, 0.25, 26.53
Coloured, Static, 0.1, 0.9, 0.25, 23.64
Normal, Player-Dynamic, 0.1, 0.9, 0.25, 35.84
Coloured, Player-Dynamic, 0.1, 0.9, 0.25, 55.29
Normal, Dynamic, 0.1, 0.9, 0.25, -257.19
Coloured, Dynamic, 0.1, 0.9, 0.25, -189.55
Normal, Static, 0.1, 0.9, 0.5, 9.76
Coloured, Static, 0.1, 0.9, 0.5, 15.23
Normal, Player-Dynamic, 0.1, 0.9, 0.5, 37.96
Coloured, Player-Dynamic, 0.1, 0.9, 0.5, 36.73
Normal, Dynamic, 0.1, 0.9, 0.5, -74.26
Coloured, Dynamic, 0.1, 0.9, 0.5, 6.78
Normal, Static, 0.1, 0.75, 0.1, 41.74
Coloured, Static, 0.1, 0.75, 0.1, 12.65
Normal, Player-Dynamic, 0.1, 0.75, 0.1, 42.27
Coloured, Player-Dynamic, 0.1, 0.75, 0.1, -279.31
Normal, Dynamic, 0.1, 0.75, 0.1, -378.84
Coloured, Dynamic, 0.1, 0.75, 0.1, -347.59
Normal, Static, 0.1, 0.5, 0.1, 37.82
Coloured, Static, 0.1, 0.5, 0.1, -281.7
Normal, Player-Dynamic, 0.1, 0.5, 0.1, 38.47
Coloured, Player-Dynamic, 0.1, 0.5, 0.1, -345.58
Normal, Dynamic, 0.1, 0.5, 0.1, -215.6
Coloured, Dynamic, 0.1, 0.5, 0.1, -365.44
